block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
55294000,1788628762,2026-09-05T17:19:22Z,13,3129594,0,0,0
55306000,1788629975,2026-09-05T17:39:35Z,30,7792091,0,523723,2
55318000,1788631183,2026-09-05T17:59:43Z,40,12726374,0,602708,7
55330000,1788632392,2026-09-05T18:19:52Z,12,7639110,0,0,0
55342000,1788633603,2026-09-05T18:40:03Z,15,2441437,0,51265,1
55354000,1788634813,2026-09-05T19:00:13Z,11,3132494,133,145099,1
55366000,1788636025,2026-09-05T19:20:25Z,25,6670704,0,425769,1
55378000,1788637238,2026-09-05T19:40:38Z,10,1694567,0,0,0
55390000,1788638448,2026-09-05T20:00:48Z,20,5025098,0,0,0
55402000,1788639659,2026-09-05T20:20:59Z,13,3250013,0,0,0
55414000,1788640871,2026-09-05T20:41:11Z,20,8287990,0,0,0
55426000,1788642085,2026-09-05T21:01:25Z,19,12765397,0,0,0
55438000,1788643297,2026-09-05T21:21:37Z,11,5107654,0,0,0
55450000,1788644508,2026-09-05T21:41:48Z,24,5790044,0,190574,4
55462000,1788645719,2026-09-05T22:01:59Z,32,7083793,0,0,0
55474000,1788646926,2026-09-05T22:22:06Z,11,2985695,0,29945,1
55486000,1788648138,2026-09-05T22:42:18Z,9,3519004,0,91472,1
55498000,1788649348,2026-09-05T23:02:28Z,26,5626037,0,149278,1
55510000,1788650558,2026-09-05T23:22:38Z,10,4055444,0,0,0
55522000,1788651767,2026-09-05T23:42:47Z,23,5896536,0,0,0
55534000,1788652978,2026-09-06T00:02:58Z,14,5417280,0,421860,2
55546000,1788654187,2026-09-06T00:23:07Z,0,0,0,0,0
55558000,1788655394,2026-09-06T00:43:14Z,8,6918230,0,0,0
55570000,1788656603,2026-09-06T01:03:23Z,15,10635092,0,0,0
55582000,1788657816,2026-09-06T01:23:36Z,21,10172300,0,220528,4
55594000,1788659027,2026-09-06T01:43:47Z,13,2797512,0,43395,1
55606000,1788660239,2026-09-06T02:03:59Z,19,4943352,0,0,0
55618000,1788661448,2026-09-06T02:24:08Z,24,6999342,1105,1261861,6
