l1_timestamp,l1_time_utc,posting_delay_newest_s,selector
1788940559,2026-09-09T07:55:59Z,19,0x3e5aa082
1788941771,2026-09-09T08:16:11Z,23,0x3e5aa082
1788942983,2026-09-09T08:36:23Z,16,0x917cf8ac
1788944195,2026-09-09T08:56:35Z,18,0x3e5aa082
1788945407,2026-09-09T09:16:47Z,13,0x3e5aa082
1788946619,2026-09-09T09:36:59Z,19,0x3e5aa082
1788947843,2026-09-09T09:57:23Z,13,0x3e5aa082
1788949043,2026-09-09T10:17:23Z,14,0x3e5aa082
1788950255,2026-09-09T10:37:35Z,18,0x3e5aa082
1788951479,2026-09-09T10:57:59Z,20,0x3e5aa082
1788952679,2026-09-09T11:17:59Z,14,0x3e5aa082
1788953891,2026-09-09T11:38:11Z,20,0x3e5aa082
1788955091,2026-09-09T11:58:11Z,19,0x3e5aa082
1788956315,2026-09-09T12:18:35Z,40,0x3e5aa082
1788957527,2026-09-09T12:38:47Z,18,0x3e5aa082
1788958739,2026-09-09T12:58:59Z,20,0x917cf8ac
1788959939,2026-09-09T13:18:59Z,26,0x3e5aa082
1788961151,2026-09-09T13:39:11Z,24,0x3e5aa082
1788962387,2026-09-09T13:59:47Z,59,0x3e5aa082
1788963599,2026-09-09T14:19:59Z,16,0x3e5aa082
1788964811,2026-09-09T14:40:11Z,21,0x3e5aa082
1788966023,2026-09-09T15:00:23Z,34,0x3e5aa082
1788967223,2026-09-09T15:20:23Z,22,0x3e5aa082
1788968423,2026-09-09T15:40:23Z,46,0x3e5aa082
1788969623,2026-09-09T16:00:23Z,23,0x3e5aa082
1788970823,2026-09-09T16:20:23Z,18,0x3e5aa082
1788972035,2026-09-09T16:40:35Z,26,0x3e5aa082
1788973235,2026-09-09T17:00:35Z,21,0x3e5aa082
1788974447,2026-09-09T17:20:47Z,21,0x3e5aa082
1788975647,2026-09-09T17:40:47Z,23,0x3e5aa082
1788976859,2026-09-09T18:00:59Z,28,0x3e5aa082
1788978071,2026-09-09T18:21:11Z,25,0x3e5aa082
