l1_timestamp,l1_time_utc,posting_delay_newest_s,messages_in_batch,batch_sequence,max_fee_per_blob_gas_wei,max_fee_per_gas_wei,blobs,nonce
1788561887,2026-09-04T22:44:47Z,26,153,,,,3,193797
1788562007,2026-09-04T22:46:47Z,23,137,,,,3,193807
1788562127,2026-09-04T22:48:47Z,28,133,,,,3,193816
1788562247,2026-09-04T22:50:47Z,21,135,,,,3,193825
1788562367,2026-09-04T22:52:47Z,23,144,,,,3,193833
1788562487,2026-09-04T22:54:47Z,22,131,,,,3,193842
1788562607,2026-09-04T22:56:47Z,23,116,,,,3,193851
1788562727,2026-09-04T22:58:47Z,39,67,,,,3,193861
1788562859,2026-09-04T23:00:59Z,52,98,,,,3,193872
1788562979,2026-09-04T23:02:59Z,17,137,,,,3,193884
1788563099,2026-09-04T23:04:59Z,24,151,,,,3,193892
1788563219,2026-09-04T23:06:59Z,18,117,,,,3,193901
1788563339,2026-09-04T23:08:59Z,23,125,,,,3,193909
1788563459,2026-09-04T23:10:59Z,20,124,,,,3,193918
1788563579,2026-09-04T23:12:59Z,21,122,,,,3,193927
1788563699,2026-09-04T23:14:59Z,22,113,,,,3,193937
1788563819,2026-09-04T23:16:59Z,21,141,,,,3,193946
1788563939,2026-09-04T23:18:59Z,27,145,,,,3,193954
1788564059,2026-09-04T23:20:59Z,21,100,,,,3,193963
1788564179,2026-09-04T23:22:59Z,18,135,,,,3,193973
1788564299,2026-09-04T23:24:59Z,24,123,,,,3,193983
1788564419,2026-09-04T23:26:59Z,19,161,,,,3,193992
1788564551,2026-09-04T23:29:11Z,26,147,,,,3,194001
1788564671,2026-09-04T23:31:11Z,47,56,,,,3,194012
1788564791,2026-09-04T23:33:11Z,73,142,,,,3,194024
1788564911,2026-09-04T23:35:11Z,67,125,,,,3,194035
1788565031,2026-09-04T23:37:11Z,69,116,,,,3,194045
1788565151,2026-09-04T23:39:11Z,71,118,,,,3,194056
1788565271,2026-09-04T23:41:11Z,84,124,,,,3,194066
1788565391,2026-09-04T23:43:11Z,74,122,,,,3,194076
1788565511,2026-09-04T23:45:11Z,81,108,,,,3,194086
1788565631,2026-09-04T23:47:11Z,83,125,,,,3,194096
1788565751,2026-09-04T23:49:11Z,88,87,,,,3,194108
1788565871,2026-09-04T23:51:11Z,94,111,,,,3,194119
1788565991,2026-09-04T23:53:11Z,93,114,,,,3,194130
1788566111,2026-09-04T23:55:11Z,99,95,,,,3,194141
1788566231,2026-09-04T23:57:11Z,112,103,,,,3,194152
1788566351,2026-09-04T23:59:11Z,131,92,,,,3,194161
1788566471,2026-09-05T00:01:11Z,131,84,,,,3,194174
1788566591,2026-09-05T00:03:11Z,146,95,,,,3,194184
1788566723,2026-09-05T00:05:23Z,183,92,,,,3,194196
1788566855,2026-09-05T00:07:35Z,187,107,,,,3,194208
1788566975,2026-09-05T00:09:35Z,167,105,,,,3,194220
1788567095,2026-09-05T00:11:35Z,176,111,,,,3,194231
1788567215,2026-09-05T00:13:35Z,185,148,,,,3,194243
1788567335,2026-09-05T00:15:35Z,185,99,,,,3,194254
1788567455,2026-09-05T00:17:35Z,207,82,,,,3,194265
1788567575,2026-09-05T00:19:35Z,197,132,,,,3,194277
1788567695,2026-09-05T00:21:35Z,175,148,,,,3,194288
1788567815,2026-09-05T00:23:35Z,156,112,,,,3,194299
1788567935,2026-09-05T00:25:35Z,141,172,,,,3,194310
1788568055,2026-09-05T00:27:35Z,153,89,,,,3,194321
1788568175,2026-09-05T00:29:35Z,133,114,,,,3,194333
1788568295,2026-09-05T00:31:35Z,111,181,,,,3,194344
1788568415,2026-09-05T00:33:35Z,95,126,,,,3,194355
1788568535,2026-09-05T00:35:35Z,69,118,,,,3,194367
1788568655,2026-09-05T00:37:35Z,48,135,,,,3,194378
1788568775,2026-09-05T00:39:35Z,23,125,,,,3,194389
1788568895,2026-09-05T00:41:35Z,24,126,,,,3,194398
1788569015,2026-09-05T00:43:35Z,27,150,,,,3,194407
1788569135,2026-09-05T00:45:35Z,22,125,,,,3,194418
1788569255,2026-09-05T00:47:35Z,25,142,,,,3,194427
1788569375,2026-09-05T00:49:35Z,21,146,,,,3,194436
1788569495,2026-09-05T00:51:35Z,25,139,,,,3,194444
1788569627,2026-09-05T00:53:47Z,29,173,,,,3,194452
1788569759,2026-09-05T00:55:59Z,28,146,,,,3,194460
1788569891,2026-09-05T00:58:11Z,23,150,,,,3,194470
