day,block,timestamp,time_utc,gas_used,user_tx_count
2026-09-03,53369350,1788433597,2026-09-03T11:06:37Z,4705925,9
2026-09-03,53369380,1788433600,2026-09-03T11:06:40Z,1379641,5
2026-09-03,53369410,1788433603,2026-09-03T11:06:43Z,5613646,8
2026-09-03,53369440,1788433607,2026-09-03T11:06:47Z,1246020,2
2026-09-03,53369470,1788433610,2026-09-03T11:06:50Z,1402541,6
2026-09-03,53369500,1788433613,2026-09-03T11:06:53Z,4303077,8
2026-09-03,53369530,1788433616,2026-09-03T11:06:56Z,957950,2
2026-09-03,53369560,1788433619,2026-09-03T11:06:59Z,870576,6
2026-09-03,53369590,1788433622,2026-09-03T11:07:02Z,2135080,8
2026-09-03,53369620,1788433625,2026-09-03T11:07:05Z,4695789,11
2026-09-03,53369650,1788433628,2026-09-03T11:07:08Z,1870889,10
2026-09-03,53369680,1788433631,2026-09-03T11:07:11Z,488378,5
2026-09-03,53369710,1788433634,2026-09-03T11:07:14Z,2806705,9
2026-09-03,53369740,1788433637,2026-09-03T11:07:17Z,5743266,13
2026-09-03,53369770,1788433640,2026-09-03T11:07:20Z,1097872,3
2026-09-03,53369800,1788433643,2026-09-03T11:07:23Z,1651913,7
2026-09-03,53369830,1788433646,2026-09-03T11:07:26Z,2953245,10
2026-09-03,53369860,1788433650,2026-09-03T11:07:30Z,996064,4
2026-09-03,53369890,1788433653,2026-09-03T11:07:33Z,12273112,12
2026-09-03,53369920,1788433656,2026-09-03T11:07:36Z,151655,1
2026-09-03,53369950,1788433659,2026-09-03T11:07:39Z,511843,4
2026-09-03,53369980,1788433662,2026-09-03T11:07:42Z,4139834,9
2026-09-03,53370010,1788433665,2026-09-03T11:07:45Z,984251,6
2026-09-03,53370040,1788433668,2026-09-03T11:07:48Z,1657191,5
2026-09-03,53370070,1788433671,2026-09-03T11:07:51Z,1911284,4
2026-09-03,53370100,1788433674,2026-09-03T11:07:54Z,975498,7
2026-09-03,53370130,1788433677,2026-09-03T11:07:57Z,918309,5
2026-09-03,53370160,1788433680,2026-09-03T11:08:00Z,535770,4
2026-09-03,53370190,1788433683,2026-09-03T11:08:03Z,6748529,65
2026-09-03,53370220,1788433686,2026-09-03T11:08:06Z,2412133,6
2026-09-03,53370250,1788433689,2026-09-03T11:08:09Z,2544472,10
2026-09-03,53370280,1788433693,2026-09-03T11:08:13Z,1880436,8
